,category,score,n_samples,n_features
0,art_and_entertainment,0.9822180627047262,4274,27355
1,automotive_and_vehicles,0.959109163928441,2739,16246
2,business_and_industrial,0.9690938890189651,4271,24203
3,education,0.9757498404594767,1567,12026
4,family_and_parenting,0.9676759410801964,2444,17963
5,finance,0.9584171696847753,1491,9960
6,food_and_drink,0.9701440112399017,2847,18933
7,govt_and_politics,0.9747155499367889,2373,16167
8,health_and_fitness,0.9487666034155597,4743,28943
9,home_and_garden,0.9690107270560191,2517,16168
10,pets,0.9560770156438027,3324,22598
11,religion_and_spirituality,0.9764912280701754,2850,23616
12,root,0.9674159620540318,9698,45994
13,science,0.9677691173372657,4747,26405
14,shopping,0.9652448657187994,1899,13412
15,society,0.9629629629629629,4266,25297
16,technology_and_computing,0.9568926807364168,4454,20404
17,travel,0.9864743011722272,1109,9210
