,category,score,n_samples,n_features
0,art_and_entertainment,0.19279363593823118,4274,27355
1,automotive_and_vehicles,0.39430449069003287,2739,16246
2,business_and_industrial,0.11074689768204167,4271,24203
3,education,0.17294192724952137,1567,12026
4,family_and_parenting,0.24427168576104746,2444,17963
5,finance,0.5754527162977867,1491,9960
6,food_and_drink,0.16719353705655077,2847,18933
7,govt_and_politics,0.2001685630004214,2373,16167
8,health_and_fitness,0.11617119966266076,4743,28943
9,home_and_garden,0.18831942789034564,2517,16168
10,pets,0.19163658243080625,3324,22598
11,religion_and_spirituality,0.16666666666666666,2850,23616
12,root,0.05238193441946793,9698,45994
13,science,0.102801769538656,4747,26405
14,shopping,0.24855186940494997,1899,13412
15,society,0.1113455227379278,4266,25297
16,technology_and_computing,0.15806017063313876,4454,20404
17,travel,0.8052299368800722,1109,9210
