,category,score,n_samples,n_features
0,art_and_entertainment,0.9766027140851661,4274,27355
1,automotive_and_vehicles,0.9612997444322745,2739,16246
2,business_and_industrial,0.9658159681573402,4271,24203
3,education,0.9751116783663051,1567,12026
4,family_and_parenting,0.9684942716857611,2444,17963
5,finance,0.9792085848423877,1491,9960
6,food_and_drink,0.9736564805057956,2847,18933
7,govt_and_politics,0.9683944374209861,2373,16167
8,health_and_fitness,0.9519291587602783,4743,28943
9,home_and_garden,0.9698053237981724,2517,16168
10,pets,0.9623947051744886,3324,22598
11,religion_and_spirituality,0.9778947368421053,2850,23616
12,root,0.9611260053619303,9698,45994
13,science,0.9726142827048663,4747,26405
14,shopping,0.9773565034228542,1899,13412
15,society,0.9732770745428974,4266,25297
16,technology_and_computing,0.9607094746295465,4454,20404
17,travel,0.9891794409377818,1109,9210
