,category,score,n_samples,n_features
0,art_and_entertainment,0.9777725783809078,4274,27355
1,automotive_and_vehicles,0.9529025191675794,2739,16246
2,business_and_industrial,0.970264575040974,4271,24203
3,education,0.978940650925335,1567,12026
4,family_and_parenting,0.9607201309328969,2444,17963
5,finance,0.9785378940308518,1491,9960
6,food_and_drink,0.9697927643133123,2847,18933
7,govt_and_politics,0.9637589549093973,2373,16167
8,health_and_fitness,0.952561669829222,4743,28943
9,home_and_garden,0.9686134286849424,2517,16168
10,pets,0.9620938628158845,3324,22598
11,religion_and_spirituality,0.9782456140350877,2850,23616
12,root,0.968343988451227,9698,45994
13,science,0.9681904360648831,4747,26405
14,shopping,0.9652448657187994,1899,13412
15,society,0.9749179559306141,4266,25297
16,technology_and_computing,0.9604849573417154,4454,20404
17,travel,0.9855725879170424,1109,9210
