,category,score,n_samples,n_features
0,art_and_entertainment,0.9838558727187646,4274,27355
1,automotive_and_vehicles,0.959109163928441,2739,16246
2,business_and_industrial,0.9712011238585812,4271,24203
3,education,0.978940650925335,1567,12026
4,family_and_parenting,0.9668576104746317,2444,17963
5,finance,0.9852448021462106,1491,9960
6,food_and_drink,0.9736564805057956,2847,18933
7,govt_and_politics,0.978086809945217,2373,16167
8,health_and_fitness,0.954248366013072,4743,28943
9,home_and_garden,0.9694080254270957,2517,16168
10,pets,0.9623947051744886,3324,22598
11,religion_and_spirituality,0.9866666666666667,2850,23616
12,root,0.9688595586718911,9698,45994
13,science,0.9749315357067622,4747,26405
14,shopping,0.9778830963665087,1899,13412
15,society,0.9756211908110642,4266,25297
16,technology_and_computing,0.96138302649304,4454,20404
17,travel,0.9891794409377818,1109,9210
