,category,score,n_samples,n_features
0,art_and_entertainment,0.1303228825456247,4274,27355
1,automotive_and_vehicles,0.17816721431179264,2739,16246
2,business_and_industrial,0.11121517209084524,4271,24203
3,education,0.30312699425654116,1567,12026
4,family_and_parenting,0.19435351882160393,2444,17963
5,finance,0.9295774647887324,1491,9960
6,food_and_drink,0.19494204425711276,2847,18933
7,govt_and_politics,0.2001685630004214,2373,16167
8,health_and_fitness,0.10963525195024246,4743,28943
9,home_and_garden,0.22367898291617005,2517,16168
10,pets,0.14350180505415164,3324,22598
11,religion_and_spirituality,0.16666666666666666,2850,23616
12,root,0.04836048669828831,9698,45994
13,science,0.1137560564567095,4747,26405
14,shopping,0.2896261190100053,1899,13412
15,society,0.12283169245194561,4266,25297
16,technology_and_computing,0.09721598563089358,4454,20404
17,travel,0.9540126239855726,1109,9210
