,category,score,n_samples,n_features
0,art_and_entertainment,0.11254094525035097,4274,27355
1,automotive_and_vehicles,0.17342095655348666,2739,16246
2,business_and_industrial,0.11098103488644345,4271,24203
3,education,0.30312699425654116,1567,12026
4,family_and_parenting,0.1939443535188216,2444,17963
5,finance,0.31857813547954394,1491,9960
6,food_and_drink,0.16684229012996135,2847,18933
7,govt_and_politics,0.20353982300884957,2373,16167
8,health_and_fitness,0.10014758591608687,4743,28943
9,home_and_garden,0.18871672626142233,2517,16168
10,pets,0.17689530685920576,3324,22598
11,religion_and_spirituality,0.16666666666666666,2850,23616
12,root,0.04897917096308517,9698,45994
13,science,0.10006319780914262,4747,26405
14,shopping,0.253291205897841,1899,13412
15,society,0.1113455227379278,4266,25297
16,technology_and_computing,0.10664571171980243,4454,20404
17,travel,0.42831379621280435,1109,9210
