,category,score,n_samples,n_features
0,art_and_entertainment,0.9831539541413196,4274,27355
1,automotive_and_vehicles,0.959109163928441,2739,16246
2,business_and_industrial,0.9712011238585812,4271,24203
3,education,0.9795788130185067,1567,12026
4,family_and_parenting,0.9684942716857611,2444,17963
5,finance,0.9859154929577465,1491,9960
6,food_and_drink,0.9719002458728486,2847,18933
7,govt_and_politics,0.978086809945217,2373,16167
8,health_and_fitness,0.9540375289900906,4743,28943
9,home_and_garden,0.9694080254270957,2517,16168
10,pets,0.9626955475330926,3324,22598
11,religion_and_spirituality,0.9866666666666667,2850,23616
12,root,0.9685502165394927,9698,45994
13,science,0.9747208763429535,4747,26405
14,shopping,0.9778830963665087,1899,13412
15,society,0.9756211908110642,4266,25297
16,technology_and_computing,0.9611585092052088,4454,20404
17,travel,0.9891794409377818,1109,9210
