,category,score,n_samples,n_features
0,art_and_entertainment,0.11230697239120262,4274,27355
1,automotive_and_vehicles,0.22015334063526834,2739,16246
2,business_and_industrial,0.11144930929524702,4271,24203
3,education,0.30376515634971285,1567,12026
4,family_and_parenting,0.19312602291325695,2444,17963
5,finance,0.6566063044936284,1491,9960
6,food_and_drink,0.16649104320337196,2847,18933
7,govt_and_politics,0.2001685630004214,2373,16167
8,health_and_fitness,0.09930423782416192,4743,28943
9,home_and_garden,0.2534763607469209,2517,16168
10,pets,0.14290012033694344,3324,22598
11,religion_and_spirituality,0.16736842105263158,2850,23616
12,root,0.055062899566921016,9698,45994
13,science,0.14788287339372236,4747,26405
14,shopping,0.2517114270668773,1899,13412
15,society,0.1113455227379278,4266,25297
16,technology_and_computing,0.11136057476425684,4454,20404
17,travel,0.8052299368800722,1109,9210
