,category,score,n_samples,n_features
0,art_and_entertainment,0.9801123069723912,4274,27355
1,automotive_and_vehicles,0.9558232931726908,2739,16246
2,business_and_industrial,0.9679232029969562,4271,24203
3,education,0.9751116783663051,1567,12026
4,family_and_parenting,0.9631751227495908,2444,17963
5,finance,0.9684775318578136,1491,9960
6,food_and_drink,0.9659290481208289,2847,18933
7,govt_and_politics,0.9726085124315212,2373,16167
8,health_and_fitness,0.9506641366223909,4743,28943
9,home_and_garden,0.9674215335717123,2517,16168
10,pets,0.9599879663056559,3324,22598
11,religion_and_spirituality,0.9835087719298246,2850,23616
12,root,0.9658692513920396,9698,45994
13,science,0.9700863703391616,4747,26405
14,shopping,0.9726171669299631,1899,13412
15,society,0.9706985466479138,4266,25297
16,technology_and_computing,0.9506061966771442,4454,20404
17,travel,0.9585211902614968,1109,9210
